customer_state,total_customers,avg_ltv,conversion_rate
AC,74,334.63716216216216,0.05405405405405406
AL,383,281.29146214099217,0.02610966057441253
AM,140,237.32657142857144,0.014285714285714285
AP,66,326.08651515151513,0.015151515151515152
BA,3119,244.51223469060596,0.027893555626803464
CE,1244,263.05787781350483,0.01607717041800643
DF,1989,210.22595274007037,0.029663147310206132
ES,1911,207.33154369440084,0.029304029304029304
GO,1849,261.5123147647377,0.03136830719307734
MA,692,278.5123121387283,0.015895953757225433
MG,10842,208.1728989116399,0.029053680132816822
MS,672,241.08988095238095,0.026785714285714284
MT,843,296.66138790035586,0.03440094899169632
PA,904,270.1374115044248,0.024336283185840708
PB,496,351.8899798387097,0.024193548387096774
PE,1530,231.9405751633987,0.023529411764705882
PI,457,290.6096717724289,0.02188183807439825
PR,4702,217.04279668226286,0.0295618885580604
RJ,11739,226.3642754919499,0.03254110230854417
RN,458,249.61213973799127,0.021834061135371178
RO,226,283.86646017699115,0.03982300884955752
RR,38,289.44894736842105,0.02631578947368421
RS,5092,214.3844363707777,0.030636292223095052
SC,3392,222.9985908018868,0.026238207547169812
SE,325,262.51153846153846,0.021538461538461538
SP,38631,189.34941886050063,0.03085604825140431
TO,264,266.11928030303034,0.026515151515151516
